Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P00811	reviewed	AMPC_ECOLI	Beta-lactamase, EC 3.5.2.6 (Cephalosporinase)	ampC ampA b4150 JW4111	Escherichia coli (strain K12)	377
P00861	reviewed	DCDA_ECOLI	Diaminopimelate decarboxylase, DAP decarboxylase, DAPDC, EC 4.1.1.20	lysA b2838 JW2806	Escherichia coli (strain K12)	420
P00864	reviewed	CAPP_ECOLI	Phosphoenolpyruvate carboxylase, PEPC, PEPCase, EC 4.1.1.31	ppc glu b3956 JW3928	Escherichia coli (strain K12)	883
P00893	reviewed	ILVI_ECOLI	Acetolactate synthase isozyme 3 large subunit, EC 2.2.1.6 (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI b0077 JW0076	Escherichia coli (strain K12)	574
P00894	reviewed	ILVH_ECOLI	Acetolactate synthase isozyme 3 small subunit, EC 2.2.1.6 (ALS-III) (Acetohydroxy-acid synthase III small subunit, AHAS-III)	ilvH brnP b0078 JW0077	Escherichia coli (strain K12)	163
P00903	reviewed	PABA_ECOLI	Aminodeoxychorismate synthase component 2, ADC synthase, ADCS, EC 2.6.1.85 (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	pabA b3360 JW3323	Escherichia coli (strain K12)	187
P00904	reviewed	TRPGD_ECOLI	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2, AS, ASII, EC 4.1.3.27 (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase, EC 2.4.2.18 ]	trpGD trpD b1263 JW1255	Escherichia coli (strain K12)	531
P00914	reviewed	PHR_ECOLI	Deoxyribodipyrimidine photo-lyase, EC 4.1.99.3 (DNA photolyase) (Photoreactivating enzyme)	phrB phr b0708 JW0698	Escherichia coli (strain K12)	472
P00926	reviewed	SDHD_ECOLI	D-serine dehydratase, EC 4.3.1.18 (D-serine deaminase, DSD)	dsdA b2366 JW2363	Escherichia coli (strain K12)	442
P00935	reviewed	METB_ECOLI	Cystathionine gamma-synthase, CGS, EC 2.5.1.48 (O-succinylhomoserine (thiol)-lyase)	metB b3939 JW3910	Escherichia coli (strain K12)	386
P00936	reviewed	CYAA_ECOLI	Adenylate cyclase, EC 4.6.1.1 (ATP pyrophosphate-lyase) (Adenylyl cyclase)	cyaA cya b3806 JW3778	Escherichia coli (strain K12)	848
P00946	reviewed	MANA_ECOLI	Mannose-6-phosphate isomerase, EC 5.3.1.8 (Phosphohexomutase) (Phosphomannose isomerase, PMI)	manA pmi b1613 JW1605	Escherichia coli (strain K12)	391
P00956	reviewed	SYI_ECOLI	Isoleucine--tRNA ligase, EC 6.1.1.5 (Isoleucyl-tRNA synthetase, IleRS)	ileS ilvS b0026 JW0024	Escherichia coli (strain K12)	938
P00957	reviewed	SYA_ECOLI	Alanine--tRNA ligase, EC 6.1.1.7 (Alanyl-tRNA synthetase, AlaRS)	alaS lovB b2697 JW2667	Escherichia coli (strain K12)	876
P00959	reviewed	SYM_ECOLI	Methionine--tRNA ligase, EC 6.1.1.10 (Methionyl-tRNA synthetase, MetRS)	metG b2114 JW2101	Escherichia coli (strain K12)	677
P00962	reviewed	SYQ_ECOLI	Glutamine--tRNA ligase, EC 6.1.1.18 (Glutaminyl-tRNA synthetase, GlnRS)	glnS b0680 JW0666	Escherichia coli (strain K12)	554
P00963	reviewed	ASNA_ECOLI	Aspartate--ammonia ligase, EC 6.3.1.1 (Asparagine synthetase A)	asnA b3744 JW3722	Escherichia coli (strain K12)	330
P00968	reviewed	CARB_ECOLI	Carbamoyl-phosphate synthase large chain, EC 6.3.5.5 (Carbamoyl-phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031	Escherichia coli (strain K12)	1073
P02358	reviewed	RS6_ECOLI	30S ribosomal protein S6 (Small ribosomal subunit protein bS6) [Cleaved into: 30S ribosomal protein S6, fully modified isoform; 30S ribosomal protein S6, non-modified isoform ]	rpsF b4200 JW4158	Escherichia coli (strain K12)	135
P02359	reviewed	RS7_ECOLI	30S ribosomal protein S7 (Small ribosomal subunit protein uS7)	rpsG b3341 JW3303	Escherichia coli (strain K12)	179
P02916	reviewed	MALF_ECOLI	Maltose/maltodextrin transport system permease protein MalF	malF b4033 JW3993	Escherichia coli (strain K12)	514
P02918	reviewed	PBPA_ECOLI	Penicillin-binding protein 1A, PBP-1a, PBP1a [Includes: Penicillin-insensitive transglycosylase, EC 2.4.1.129 (Peptidoglycan TGase); Penicillin-sensitive transpeptidase, EC 3.4.16.4 (DD-transpeptidase) ]	mrcA ponA b3396 JW3359	Escherichia coli (strain K12)	850
P02919	reviewed	PBPB_ECOLI	Penicillin-binding protein 1B, PBP-1b, PBP1b (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase, EC 2.4.1.129 (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase, EC 3.4.16.4 (DD-transpeptidase) ]	mrcB pbpF ponB b0149 JW0145	Escherichia coli (strain K12)	844
P02920	reviewed	LACY_ECOLI	Lactose permease (Lactose-proton symport)	lacY b0343 JW0334	Escherichia coli (strain K12)	417
P02921	reviewed	MELB_ECOLI	Melibiose permease (Melibiose carrier) (Melibiose transporter) (Melibiose/cation symporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II)	melB mel-4 b4120 JW4081	Escherichia coli (strain K12)	473
P02924	reviewed	ARAF_ECOLI	L-arabinose-binding periplasmic protein, ABP	araF b1901 JW1889	Escherichia coli (strain K12)	329
P02925	reviewed	RBSB_ECOLI	Ribose import binding protein RbsB	rbsB prlB rbsP b3751 JW3730	Escherichia coli (strain K12)	296
P02929	reviewed	TONB_ECOLI	Protein TonB	tonB exbA b1252 JW5195	Escherichia coli (strain K12)	239
P02930	reviewed	TOLC_ECOLI	Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC)	tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503	Escherichia coli (strain K12)	493
P02931	reviewed	OMPF_ECOLI	Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF)	ompF cmlB coa cry tolF b0929 JW0912	Escherichia coli (strain K12)	362
P02942	reviewed	MCP1_ECOLI	Methyl-accepting chemotaxis protein I, MCP-I (Serine chemoreceptor protein)	tsr cheD b4355 JW4318	Escherichia coli (strain K12)	551
P02943	reviewed	LAMB_ECOLI	Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein)	lamB malB b4036 JW3996	Escherichia coli (strain K12)	446
P03004	reviewed	DNAA_ECOLI	Chromosomal replication initiator protein DnaA	dnaA b3702 JW3679	Escherichia coli (strain K12)	467
P03007	reviewed	DPO3E_ECOLI	DNA polymerase III subunit epsilon, EC 2.7.7.7	dnaQ mutD b0215 JW0205	Escherichia coli (strain K12)	243
P03018	reviewed	UVRD_ECOLI	DNA helicase II, EC 3.6.4.12	uvrD mutU pdeB rad recL b3813 JW3786	Escherichia coli (strain K12)	720
P03023	reviewed	LACI_ECOLI	Lactose operon repressor	lacI b0345 JW0336	Escherichia coli (strain K12)	360
P03819	reviewed	KEFC_ECOLI	Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter)	kefC trkC b0047 JW0046	Escherichia coli (strain K12)	620
P03959	reviewed	KDPA_ECOLI	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	kdpA b0698 JW0686	Escherichia coli (strain K12)	557
P03960	reviewed	KDPB_ECOLI	Potassium-transporting ATPase ATP-binding subunit, EC 7.2.2.6 (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB b0697 JW0685	Escherichia coli (strain K12)	682
P03961	reviewed	KDPC_ECOLI	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	kdpC b0696 JW0684	Escherichia coli (strain K12)	190
P04036	reviewed	DAPB_ECOLI	4-hydroxy-tetrahydrodipicolinate reductase, HTPA reductase, EC 1.17.1.8	dapB b0031 JW0029	Escherichia coli (strain K12)	273
P04079	reviewed	GUAA_ECOLI	GMP synthase [glutamine-hydrolyzing], EC 6.3.5.2 (GMP synthetase, GMPS) (Glutamine amidotransferase)	guaA b2507 JW2491	Escherichia coli (strain K12)	525
P04152	reviewed	UMUC_ECOLI	Protein UmuC (DNA polymerase V, Pol V)	umuC b1184 JW1173	Escherichia coli (strain K12)	422
P04391	reviewed	OTC1_ECOLI	Ornithine carbamoyltransferase subunit I, OTCase-1, EC 2.1.3.3	argI b4254 JW4211	Escherichia coli (strain K12)	334
P04395	reviewed	3MG2_ECOLI	DNA-3-methyladenine glycosylase 2, EC 3.2.2.21 (3-methyladenine-DNA glycosylase II, inducible, TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	alkA aidA b2068 JW2053	Escherichia coli (strain K12)	282
P04425	reviewed	GSHB_ECOLI	Glutathione synthetase, EC 6.3.2.3 (GSH synthetase, GSH-S, GSHase) (Glutathione synthase)	gshB gsh-II b2947 JW2914	Escherichia coli (strain K12)	316
P04693	reviewed	TYRB_ECOLI	Aromatic-amino-acid aminotransferase, ARAT, AROAT, EC 2.6.1.57 (Beta-methylphenylalanine transaminase, EC 2.6.1.107)	tyrB b4054 JW4014	Escherichia coli (strain K12)	397
P04737	reviewed	PIL1_ECOLI	Pilin (F-pilin)	traA ECOK12F074	Escherichia coli (strain K12)	121
P04805	reviewed	SYE_ECOLI	Glutamate--tRNA ligase, EC 6.1.1.17 (Glutamyl-tRNA synthetase, GluRS)	gltX b2400 JW2395	Escherichia coli (strain K12)	471
P04825	reviewed	AMPN_ECOLI	Aminopeptidase N, EC 3.4.11.2 (Alpha-aminoacylpeptide hydrolase)	pepN b0932 JW0915	Escherichia coli (strain K12)	870
P04968	reviewed	ILVA_ECOLI	L-threonine dehydratase biosynthetic IlvA, EC 4.3.1.19 (Threonine deaminase)	ilvA b3772 JW3745	Escherichia coli (strain K12)	514
P04982	reviewed	RBSD_ECOLI	D-ribose pyranase, EC 5.4.99.62	rbsD b3748 JW5857	Escherichia coli (strain K12)	139
P04983	reviewed	RBSA_ECOLI	Ribose import ATP-binding protein RbsA, EC 7.5.2.7	rbsA b3749 JW3728	Escherichia coli (strain K12)	501
P04993	reviewed	RECD_ECOLI	RecBCD enzyme subunit RecD, EC 3.1.11.5 (Exodeoxyribonuclease V 67 kDa polypeptide) (Exodeoxyribonuclease V alpha chain) (Exonuclease V subunit RecD, ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)	recD hopE b2819 JW2787	Escherichia coli (strain K12)	608
P04995	reviewed	EX1_ECOLI	Exodeoxyribonuclease I, ExoI, Exonuclease I, EC 3.1.11.1 (DNA deoxyribophosphodiesterase, dRPase)	sbcB cpeA xonA b2011 JW1993	Escherichia coli (strain K12)	475
P05020	reviewed	PYRC_ECOLI	Dihydroorotase, DHOase, EC 3.5.2.3	pyrC b1062 JW1049	Escherichia coli (strain K12)	348
P05041	reviewed	PABB_ECOLI	Aminodeoxychorismate synthase component 1, ADC synthase, ADCS, EC 2.6.1.85 (4-amino-4-deoxychorismate synthase component 1)	pabB b1812 JW1801	Escherichia coli (strain K12)	453
P05042	reviewed	FUMC_ECOLI	Fumarate hydratase class II, Fumarase C, EC 4.2.1.2 (Aerobic fumarase) (Iron-independent fumarase)	fumC b1611 JW1603	Escherichia coli (strain K12)	467
P05050	reviewed	ALKB_ECOLI	Alpha-ketoglutarate-dependent dioxygenase AlkB, EC 1.14.11.33 (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)	alkB aidD b2212 JW2200	Escherichia coli (strain K12)	216
P05055	reviewed	PNP_ECOLI	Polyribonucleotide nucleotidyltransferase, EC 2.7.7.8 (Polynucleotide phosphorylase, PNPase)	pnp b3164 JW5851	Escherichia coli (strain K12)	711
P05194	reviewed	AROD_ECOLI	3-dehydroquinate dehydratase, 3-dehydroquinase, EC 4.2.1.10 (Type I DHQase) (Type I dehydroquinase, DHQ1)	aroD b1693 JW1683	Escherichia coli (strain K12)	252
P05458	reviewed	PTRA_ECOLI	Protease 3, EC 3.4.24.55 (Pitrilysin) (Protease III) (Protease pi)	ptrA ptr b2821 JW2789	Escherichia coli (strain K12)	962
P05523	reviewed	FPG_ECOLI	Formamidopyrimidine-DNA glycosylase, Fapy-DNA glycosylase, EC 3.2.2.23 (DNA-(apurinic or apyrimidinic site) lyase MutM, AP lyase MutM, EC 4.2.99.18)	mutM fpg b3635 JW3610	Escherichia coli (strain K12)	269
P05637	reviewed	APAH_ECOLI	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical], EC 3.6.1.41 (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	apaH b0049 JW0048	Escherichia coli (strain K12)	280
P05704	reviewed	MCP3_ECOLI	Methyl-accepting chemotaxis protein III, MCP-III (Ribose and galactose chemoreceptor protein)	trg b1421 JW1417	Escherichia coli (strain K12)	546
P05791	reviewed	ILVD_ECOLI	Dihydroxy-acid dehydratase, DAD, EC 4.2.1.9	ilvD b3771 JW5605	Escherichia coli (strain K12)	616
P05793	reviewed	ILVC_ECOLI	Ketol-acid reductoisomerase (NADP(+)), KARI, EC 1.1.1.86 (Acetohydroxy-acid isomeroreductase, AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	ilvC b3774 JW3747	Escherichia coli (strain K12)	491
P05824	reviewed	RECN_ECOLI	DNA repair protein RecN (Recombination protein N)	recN radB b2616 JW5416	Escherichia coli (strain K12)	553
P05825	reviewed	FEPA_ECOLI	Ferrienterobactin receptor (Enterobactin outer-membrane receptor)	fepA fep feuB b0584 JW5086	Escherichia coli (strain K12)	746
P05852	reviewed	TSAD_ECOLI	tRNA N6-adenosine threonylcarbamoyltransferase, EC 2.3.1.234 (N6-L-threonylcarbamoyladenine synthase, t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	tsaD gcp ygjD b3064 JW3036	Escherichia coli (strain K12)	337
P06129	reviewed	BTUB_ECOLI	Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator)	btuB bfe cer dcrC b3966 JW3938	Escherichia coli (strain K12)	614
P06134	reviewed	ADA_ECOLI	Bifunctional transcriptional activator/DNA repair enzyme Ada (Regulatory protein of adaptive response) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase, EC 2.1.1.n11 (Methylphosphotriester-DNA methyltransferase); Methylated-DNA--protein-cysteine methyltransferase, EC 2.1.1.63 (O6-methylguanine-DNA alkyltransferase) ]	ada b2213 JW2201	Escherichia coli (strain K12)	354
P06136	reviewed	FTSQ_ECOLI	Cell division protein FtsQ	ftsQ b0093 JW0091	Escherichia coli (strain K12)	276
P06149	reviewed	DLD_ECOLI	Quinone-dependent D-lactate dehydrogenase, EC 1.1.5.12 ((R)-lactate:quinone 2-oxidoreductase) (D-lactate dehydrogenase, D-LDH) (Respiratory D-lactate dehydrogenase)	dld b2133 JW2121	Escherichia coli (strain K12)	571
P06609	reviewed	BTUC_ECOLI	Vitamin B12 import system permease protein BtuC	btuC b1711 JW1701	Escherichia coli (strain K12)	326
P06611	reviewed	BTUD_ECOLI	Vitamin B12 import ATP-binding protein BtuD, EC 7.6.2.8 (Vitamin B12-transporting ATPase)	btuD b1709 JW1699	Escherichia coli (strain K12)	249
P06612	reviewed	TOP1_ECOLI	DNA topoisomerase 1, EC 5.6.2.1 (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA supX b1274 JW1266	Escherichia coli (strain K12)	865
P06616	reviewed	ERA_ECOLI	GTPase Era, ERA (GTP-binding protein Era)	era rbaA sdgE b2566 JW2550	Escherichia coli (strain K12)	301
P06709	reviewed	BIRA_ECOLI	Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase, EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA bioR dhbB b3973 JW3941	Escherichia coli (strain K12)	321
P06710	reviewed	DPO3X_ECOLI	DNA polymerase III subunit tau, EC 2.7.7.7 (DNA polymerase III subunit gamma)	dnaX dnaZ dnaZX b0470 JW0459	Escherichia coli (strain K12)	643
P06715	reviewed	GSHR_ECOLI	Glutathione reductase, GR, GRase, EC 1.8.1.7	gor b3500 JW3467	Escherichia coli (strain K12)	450
P06720	reviewed	AGAL_ECOLI	Alpha-galactosidase, EC 3.2.1.22 (Melibiase)	melA mel-7 b4119 JW4080	Escherichia coli (strain K12)	451
P06721	reviewed	METC_ECOLI	Cystathionine beta-lyase MetC, CBL, CL, EC 4.4.1.13 (Beta-cystathionase MetC) (Cysteine desulfhydrase MetC, CD, EC 4.4.1.28) (Cysteine lyase MetC) (Cysteine-S-conjugate beta-lyase MetC)	metC b3008 JW2975	Escherichia coli (strain K12)	395
P06722	reviewed	MUTH_ECOLI	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)	mutH mutR prv b2831 JW2799	Escherichia coli (strain K12)	229
P06959	reviewed	ODP2_ECOLI	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, EC 2.3.1.12 (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	aceF b0115 JW0111	Escherichia coli (strain K12)	630
P06960	reviewed	OTC2_ECOLI	Ornithine carbamoyltransferase subunit F, OTCase-2, EC 2.1.3.3	argF b0273 JW0266	Escherichia coli (strain K12)	334
P06961	reviewed	CCA_ECOLI	Multifunctional CCA protein [Includes: CCA-adding enzyme, EC 2.7.7.72 (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase, EC 3.1.3.-; 2',3'-cyclic phosphodiesterase, EC 3.1.4.-; Phosphatase, EC 3.1.3.- ]	cca b3056 JW3028	Escherichia coli (strain K12)	412
P06968	reviewed	DUT_ECOLI	Deoxyuridine 5'-triphosphate nucleotidohydrolase, dUTPase, EC 3.6.1.23 (dUTP pyrophosphatase)	dut dnaS sof b3640 JW3615	Escherichia coli (strain K12)	152
P06971	reviewed	FHUA_ECOLI	Ferrichrome outer membrane transporter/phage receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake) (Ferrichrome-iron receptor)	fhuA tonA b0150 JW0146	Escherichia coli (strain K12)	747
P06974	reviewed	FLIM_ECOLI	Flagellar motor switch protein FliM	fliM cheC2 fla AII fla QII b1945 JW1929	Escherichia coli (strain K12)	334
P06983	reviewed	HEM3_ECOLI	Porphobilinogen deaminase, PBG, EC 2.5.1.61 (Hydroxymethylbilane synthase, HMBS) (Pre-uroporphyrinogen synthase)	hemC popE b3805 JW5932	Escherichia coli (strain K12)	313
P06988	reviewed	HISX_ECOLI	Histidinol dehydrogenase, HDH, EC 1.1.1.23	hisD b2020 JW2002	Escherichia coli (strain K12)	434
P06992	reviewed	RSMA_ECOLI	Ribosomal RNA small subunit methyltransferase A, EC 2.1.1.182 (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (High level kasugamycin resistance protein KsgA) (Kasugamycin dimethyltransferase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA b0051 JW0050	Escherichia coli (strain K12)	273
P06993	reviewed	MALT_ECOLI	HTH-type transcriptional regulator MalT (ATP-dependent transcriptional activator MalT)	malT malA b3418 JW3381	Escherichia coli (strain K12)	901
P06996	reviewed	OMPC_ECOLI	Outer membrane porin C (Outer membrane protein 1B) (Outer membrane protein C) (Porin OmpC)	ompC meoA par b2215 JW2203	Escherichia coli (strain K12)	367
P06999	reviewed	PFKB_ECOLI	ATP-dependent 6-phosphofructokinase isozyme 2, ATP-PFK 2, Phosphofructokinase 2, EC 2.7.1.11 (6-phosphofructokinase isozyme II) (Phosphohexokinase 2)	pfkB b1723 JW5280	Escherichia coli (strain K12)	309
P07001	reviewed	PNTA_ECOLI	NAD(P) transhydrogenase subunit alpha, EC 7.1.1.1 (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)	pntA b1603 JW1595	Escherichia coli (strain K12)	510
P07003	reviewed	POXB_ECOLI	Pyruvate dehydrogenase [ubiquinone], EC 1.2.5.1 (Pyruvate oxidase, POX) (Pyruvate:ubiquinone-8 oxidoreductase)	poxB b0871 JW0855	Escherichia coli (strain K12)	572
P07004	reviewed	PROA_ECOLI	Gamma-glutamyl phosphate reductase, GPR, EC 1.2.1.41 (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase, GSA dehydrogenase)	proA b0243 JW0233	Escherichia coli (strain K12)	417
P07012	reviewed	RF2_ECOLI	Peptide chain release factor RF2, RF-2	prfB supK b2891 JW5847	Escherichia coli (strain K12)	365
P07013	reviewed	PRIB_ECOLI	Primosomal replication protein N	priB b4201 JW4159	Escherichia coli (strain K12)	104
P07014	reviewed	SDHB_ECOLI	Succinate dehydrogenase iron-sulfur subunit, EC 1.3.5.1	sdhB b0724 JW0714	Escherichia coli (strain K12)	238
P07017	reviewed	MCP2_ECOLI	Methyl-accepting chemotaxis protein II, MCP-II (Aspartate chemoreceptor protein)	tar cheM b1886 JW1875	Escherichia coli (strain K12)	553
