(Proteins Complexes)	Object ID	GO terms (molecular function)	Reactions catalyzed by enzyme	Object ID
amino acid exporter YddG	EG12713-MONOMER	aromatic amino acid transmembrane transporter activity // amino acid transmembrane transporter activity	S-methyl-L-methionine[periplasm]  ->  S-methyl-L-methionine[cytosol] // <i>O</i>-acetyl-L-serine export // N6-(D-fructosyl)-L-lysine[periplasm]  ->  N6-(D-fructosyl)-L-lysine[cytosol] // D-serine[periplasm]  ->  D-serine[cytosol] // L-valine[cytosol]  <-->  L-valine[periplasm] // L-cystathionine[periplasm]  ->  L-cystathionine[cytosol] // L-cysteine export // L-selenocysteine[periplasm]  ->  L-selenocysteine[cytosol] // L-lysine[cytosol]  ->  L-lysine[periplasm] // L-arginine[periplasm]  <-  L-arginine[cytosol] // glycine[periplasm]  <-->  glycine[cytosol] // L-cystine[cytosol]  ->  L-cystine[periplasm] // D-cystine[cytosol]  ->  D-cystine[periplasm] // transport of cystine // amino acid export	S-methyl-L-methionine[periplasm]  ->  S-methyl-L-methionine[cytosol] // <i>O</i>-acetyl-L-serine export // N6-(D-fructosyl)-L-lysine[periplasm]  ->  N6-(D-fructosyl)-L-lysine[cytosol] // D-serine[periplasm]  ->  D-serine[cytosol] // L-valine[cytosol]  <-->  L-valine[periplasm] // L-cystathionine[periplasm]  ->  L-cystathionine[cytosol] // L-cysteine export // L-selenocysteine[periplasm]  ->  L-selenocysteine[cytosol] // L-lysine[cytosol]  ->  L-lysine[periplasm] // L-arginine[periplasm]  <-  L-arginine[cytosol] // glycine[periplasm]  <-->  glycine[cytosol] // L-cystine[cytosol]  ->  L-cystine[periplasm] // D-cystine[cytosol]  ->  D-cystine[periplasm] // transport of cystine // amino acid export
ammonium transporter	CPLX0-7532		ammonium[periplasm]  ->  ammonium[cytosol]	ammonium[periplasm]  ->  ammonium[cytosol]
anaerobic C4-dicarboxylate transporter DcuB	DCUB-MONOMER	protein binding // succinate:fumarate antiporter activity // C4-dicarboxylate transmembrane transporter activity	fumarate:succinate antiport // malate:succinate antiport // aspartate:succinate antiport // fumarate:proton symport // succinate:tartrate antiport	fumarate:succinate antiport // malate:succinate antiport // aspartate:succinate antiport // fumarate:proton symport // succinate:tartrate antiport
anaerobic C4-dicarboxylate transporter DcuC	DCUC-MONOMER	C4-dicarboxylate transmembrane transporter activity // succinate:fumarate antiporter activity	succinate:proton symport // fumarate:succinate antiport // fumarate:proton symport	succinate:proton symport // fumarate:succinate antiport // fumarate:proton symport
arabinose ABC transporter	ABC-2-CPLX	L-arabinose transmembrane transporter activity	ATP + L-arabinose[periplasm] + H2O  ->  ADP + L-arabinose[cytosol] + phosphate + H+	ATP + L-arabinose[periplasm] + H2O  ->  ADP + L-arabinose[cytosol] + phosphate + H+
arabinose:H<sup>+</sup> symporter	ARAE-MONOMER	transmembrane transporter activity // L-arabinose transmembrane transporter activity // fucose transmembrane transporter activity // symporter activity	arabinose:proton symport	arabinose:proton symport
arginine:agmatine antiporter	CPLX0-7535		arginine:agmatine antiport	arginine:agmatine antiport
aromatic amino acid:H<sup>+</sup> symporter AroP	AROP-MONOMER	L-phenylalanine transmembrane transporter activity // L-tryptophan transmembrane transporter activity // L-tyrosine transmembrane transporter activity	tryptophan:proton symport // L-tyrosine:proton symport // phenylalanine:proton symport	tryptophan:proton symport // L-tyrosine:proton symport // phenylalanine:proton symport
aromatic carboxylic acid efflux pump	CPLX0-4		4-hydroxybenzoate:proton antiport	4-hydroxybenzoate:proton antiport
arsenite/antimonite:H<sup>+</sup> antiporter	CPLX-7		antimonite:proton antiport // arsenous acid[cytosol] + H+[periplasm]  ->  arsenous acid[periplasm] + H+[cytosol]	antimonite:proton antiport // arsenous acid[cytosol] + H+[periplasm]  ->  arsenous acid[periplasm] + H+[cytosol]
ATP synthase Fo complex // ATP synthase F1 complex	ATPSYN-CPLX		ATP + H2O + 3 H+[cytosol]  <-->  ADP + phosphate + 4 H+[periplasm] // thiamine diphosphate + phosphate + n H+[periplasm]  ->  thiamine triphosphate + H2O + n H+[cytosol]	ATP + H2O + 3 H+[cytosol]  <-->  ADP + phosphate + 4 H+[periplasm] // thiamine diphosphate + phosphate + n H+[periplasm]  ->  thiamine triphosphate + H2O + n H+[cytosol]
ATP-dependent Lipid A-core flippase	CPLX0-7704		a lipid A-core oligosaccharide[cytosol] + ATP + H2O  ->  a lipid A-core oligosaccharide[periplasm] + ADP + phosphate + H+	a lipid A-core oligosaccharide[cytosol] + ATP + H2O  ->  a lipid A-core oligosaccharide[periplasm] + ADP + phosphate + H+
autoinducer 2 exporter	G6859-MONOMER	efflux transmembrane transporter activity	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[cytosol]  <-->  (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[periplasm]	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[cytosol]  <-->  (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[periplasm]
Autoinducer-2 ABC transporter periplasmic binding protein // Autoinducer-2 ABC transporter membrane subunit LsrD // Autoinducer-2 ABC transporter membrane subunit LsrC // Autoinducer-2 ABC transporter ATP binding subunit	ABC-58-CPLX		(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[periplasm] + ATP + H2O  ->  (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[cytosol] + ADP + phosphate + H+	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[periplasm] + ATP + H2O  ->  (2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran[cytosol] + ADP + phosphate + H+
&beta;-glucoside specific PTS enzyme II	CPLX-153		HPr-Phis15 + beta-D-cellobiose[periplasm]  ->  beta-D-cellobiose 6'-phosphate[cytosol] + phosphocarrier protein HPr // HPr-Phis15 + salicin[periplasm]  ->  salicin 6-phosphate[cytosol] + phosphocarrier protein HPr // arbutin[periplasm] + HPr-Phis15  ->  arbutin 6-phosphate[cytosol] + phosphocarrier protein HPr	HPr-Phis15 + beta-D-cellobiose[periplasm]  ->  beta-D-cellobiose 6'-phosphate[cytosol] + phosphocarrier protein HPr // HPr-Phis15 + salicin[periplasm]  ->  salicin 6-phosphate[cytosol] + phosphocarrier protein HPr // arbutin[periplasm] + HPr-Phis15  ->  arbutin 6-phosphate[cytosol] + phosphocarrier protein HPr
&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase	CPLX-154		methyl beta-D-glucoside[periplasm] + HPr-Phis15  ->  methyl beta-D-glucoside 6-phosphate[cytosol] + phosphocarrier protein HPr // arbutin[periplasm] + HPr-Phis15  ->  arbutin 6-phosphate[cytosol] + phosphocarrier protein HPr // HPr-Phis15 + salicin[periplasm]  ->  salicin 6-phosphate[cytosol] + phosphocarrier protein HPr // transport of &beta;-D-glucose by PTS	methyl beta-D-glucoside[periplasm] + HPr-Phis15  ->  methyl beta-D-glucoside 6-phosphate[cytosol] + phosphocarrier protein HPr // arbutin[periplasm] + HPr-Phis15  ->  arbutin 6-phosphate[cytosol] + phosphocarrier protein HPr // HPr-Phis15 + salicin[periplasm]  ->  salicin 6-phosphate[cytosol] + phosphocarrier protein HPr // transport of &beta;-D-glucose by PTS
biotin transporter	EG11471-MONOMER	biotin transmembrane transporter activity	biotin[periplasm]  ->  biotin[cytosol]	biotin[periplasm]  ->  biotin[cytosol]
branched chain amino acid / phenylalanine ABC transporter	ABC-15-CPLX		ATP + L-leucine[periplasm] + H2O  ->  ADP + L-leucine[cytosol] + phosphate + H+ // ATP + L-valine[periplasm] + H2O  ->  ADP + L-valine[cytosol] + phosphate + H+ // ATP + L-isoleucine[periplasm] + H2O  ->  ADP + L-isoleucine[cytosol] + phosphate + H+ // L-phenylalanine[periplasm] + ATP + H2O  ->  L-phenylalanine[cytosol] + ADP + phosphate + H+	ATP + L-leucine[periplasm] + H2O  ->  ADP + L-leucine[cytosol] + phosphate + H+ // ATP + L-valine[periplasm] + H2O  ->  ADP + L-valine[cytosol] + phosphate + H+ // ATP + L-isoleucine[periplasm] + H2O  ->  ADP + L-isoleucine[cytosol] + phosphate + H+ // L-phenylalanine[periplasm] + ATP + H2O  ->  L-phenylalanine[cytosol] + ADP + phosphate + H+
branched chain amino acid transporter BrnQ	BRNQ-MONOMER	protein binding // branched-chain amino acid transmembrane transporter activity // L-leucine transmembrane transporter activity // L-isoleucine transmembrane transporter activity // L-valine transmembrane transporter activity	L-leucine:Na<sup>+</sup> symport // L-valine:Na<sup>+</sup> symport // L-isoleucine:Na<sup>+</sup> symport	L-leucine:Na<sup>+</sup> symport // L-valine:Na<sup>+</sup> symport // L-isoleucine:Na<sup>+</sup> symport
C4 dicarboxylate/orotate:H<sup>+</sup> symporter	DCTA-MONOMER	transmembrane transporter activity // symporter activity // protein binding // malate:proton symporter activity // succinate transmembrane transporter activity // fumarate transmembrane transporter activity // L-aspartate transmembrane transporter activity	succinate:proton symport // fumarate:proton symport // C4-dicarboxylate:proton symport // malate:proton symport // aspartate:proton symport // orotate:proton symport // fumarate:proton symport // malate:proton symport // succinate:proton symport	succinate:proton symport // fumarate:proton symport // C4-dicarboxylate:proton symport // malate:proton symport // aspartate:proton symport // orotate:proton symport // fumarate:proton symport // malate:proton symport // succinate:proton symport
C4-dicarboxylate transporter DcuA	DCUA-MONOMER	succinate:fumarate antiporter activity // C4-dicarboxylate transmembrane transporter activity	L-aspartate:fumarate antiport // fumarate:succinate antiport // malate:succinate antiport // aspartate:succinate antiport // fumarate:proton symport	L-aspartate:fumarate antiport // fumarate:succinate antiport // malate:succinate antiport // aspartate:succinate antiport // fumarate:proton symport
CcmCDE complex	ABC-35-CPLX		protoheme[cytosol] + a CcmCDE complex + an oxidized unknown electron carrier[inner membrane] + H+  ->  a heme(III)-bound CcmCDE complex[periplasm] + a reduced unknown one electron carrier	protoheme[cytosol] + a CcmCDE complex + an oxidized unknown electron carrier[inner membrane] + H+  ->  a heme(III)-bound CcmCDE complex[periplasm] + a reduced unknown one electron carrier
chitooligosaccharide outer membrane channel	G6370-MONOMER	porin activity // channel activity	N,N',N''-triacetylchitotriose[extracellular space]  ->  N,N',N''-triacetylchitotriose[periplasm]	N,N',N''-triacetylchitotriose[extracellular space]  ->  N,N',N''-triacetylchitotriose[periplasm]
chloride:H+ antiporter ClcA	CPLX0-7961		chloride:proton antiport	chloride:proton antiport
choline:H+ symporter	BETT-MONOMER	transmembrane transporter activity // choline transmembrane transporter activity	choline:proton symport	choline:proton symport
citrate:succinate antiporter	B0612-MONOMER	transmembrane transporter activity // antiporter activity	citrate:succinate antiport	citrate:succinate antiport
cobalamin outer membrane transport complex	CPLX0-1924		cob(I)alamin[extracellular space] + H+[periplasm]  ->  cob(I)alamin[periplasm] + H+[cytosol] // cob(I)inamide[extracellular space] + H+[periplasm]  ->  cob(I)inamide[periplasm] + H+[cytosol]	cob(I)alamin[extracellular space] + H+[periplasm]  ->  cob(I)alamin[periplasm] + H+[cytosol] // cob(I)inamide[extracellular space] + H+[periplasm]  ->  cob(I)inamide[periplasm] + H+[cytosol]
colanic acid repeat unit flippase	G7097-MONOMER		4,6-pyr-alpha-D-Gal-(1->4)-beta-D-GlcA-(1->3)-2-O-Ac-alpha-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und[cytosol] + H+[periplasm]  ->  4,6-pyr-alpha-D-Gal-(1->4)-beta-D-GlcA-(1->3)-2-O-Ac-alpha-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und[periplasm] + H+[cytosol]	4,6-pyr-alpha-D-Gal-(1->4)-beta-D-GlcA-(1->3)-2-O-Ac-alpha-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und[cytosol] + H+[periplasm]  ->  4,6-pyr-alpha-D-Gal-(1->4)-beta-D-GlcA-(1->3)-2-O-Ac-alpha-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-3-O-Ac-alpha-L-Fuc-(1->3)-alpha-D-Glc-PP-Und[periplasm] + H+[cytosol]
copper/silver export system	CPLX0-1721		Cu<sup>+</sup> export // Ag<sup>+</sup> export	Cu<sup>+</sup> export // Ag<sup>+</sup> export
CP4-6 prophage; <i>S</i>-methyl-L-methionine transporter	B0260-MONOMER	amino acid transmembrane transporter activity // S-methylmethionine transmembrane transporter activity	S-methyl-L-methionine[periplasm]  ->  S-methyl-L-methionine[cytosol]	S-methyl-L-methionine[periplasm]  ->  S-methyl-L-methionine[cytosol]
cryptic phosphonate/phosphate ABC transporter	ABC-23-CPLX		ATP + an alkylphosphonate[periplasm] + H2O  ->  ADP + an alkylphosphonate[cytosol] + phosphate + H+ // an (aminoalkyl)phosphonate[periplasm] + ATP + H2O  ->  an (aminoalkyl)phosphonate[cytosol] + ADP + phosphate + H+	ATP + an alkylphosphonate[periplasm] + H2O  ->  ADP + an alkylphosphonate[cytosol] + phosphate + H+ // an (aminoalkyl)phosphonate[periplasm] + ATP + H2O  ->  an (aminoalkyl)phosphonate[cytosol] + ADP + phosphate + H+
Cu<sup>+</sup> exporting P-type ATPase	G6260-MONOMER	P-type monovalent copper transporter activity // P-type divalent copper transporter activity // ATPase-coupled cation transmembrane transporter activity // metal ion binding // ATP binding // nucleotide binding // silver ion transmembrane transporter activity // P-type ion transporter activity	Cu+[cytosol] + ATP + H2O  ->  Cu+[periplasm] + ADP + phosphate + H+	Cu+[cytosol] + ATP + H2O  ->  Cu+[periplasm] + ADP + phosphate + H+
curli assembly component CsgF // curli secretion channel	CPLX-3945		curlin, major subunit[periplasm]  ->  curlin, major subunit[extracellular space]	curlin, major subunit[periplasm]  ->  curlin, major subunit[extracellular space]
cyanate transporter	CYNX-MONOMER	transmembrane transporter activity	cyanate[periplasm]  ->  cyanate[cytosol]	cyanate[periplasm]  ->  cyanate[cytosol]
cysteine/<i>O</i>-acetylserine exporter EamA	EG11639-MONOMER	efflux transmembrane transporter activity	L-cysteine export // <i>O</i>-acetyl-L-serine export	L-cysteine export // <i>O</i>-acetyl-L-serine export
cysteine/<i>O</i>-acetylserine exporter EamB	EG12445-MONOMER	amino acid transmembrane transporter activity // efflux transmembrane transporter activity	L-cysteine export // <i>O</i>-acetyl-L-serine export	L-cysteine export // <i>O</i>-acetyl-L-serine export
cystine ABC transporter	CPLX0-8152		L-cystine[periplasm] + ATP + H2O  ->  L-cystine[cytosol] + ADP + phosphate + H+ // meso-diaminopimelate[periplasm] + ATP + H2O  ->  meso-diaminopimelate[cytosol] + ADP + phosphate + H+ // L-djenkolate[periplasm] + ATP + H2O  ->  L-djenkolate[cytosol] + ADP + phosphate + H+ // lanthionine[periplasm] + ATP + H2O  ->  lanthionine[cytosol] + ADP + phosphate + H+ // D-cystine[periplasm] + ATP + H2O  ->  D-cystine[cytosol] + ADP + phosphate + H+ // L,L-homocystine[periplasm] + ATP + H2O  ->  L,L-homocystine[cytosol] + ADP + phosphate + H+	L-cystine[periplasm] + ATP + H2O  ->  L-cystine[cytosol] + ADP + phosphate + H+ // meso-diaminopimelate[periplasm] + ATP + H2O  ->  meso-diaminopimelate[cytosol] + ADP + phosphate + H+ // L-djenkolate[periplasm] + ATP + H2O  ->  L-djenkolate[cytosol] + ADP + phosphate + H+ // lanthionine[periplasm] + ATP + H2O  ->  lanthionine[cytosol] + ADP + phosphate + H+ // D-cystine[periplasm] + ATP + H2O  ->  D-cystine[cytosol] + ADP + phosphate + H+ // L,L-homocystine[periplasm] + ATP + H2O  ->  L,L-homocystine[cytosol] + ADP + phosphate + H+
cystine exporter	EG11902-MONOMER	sulfur amino acid transmembrane transporter activity // transmembrane transporter activity	L-cystine[cytosol]  ->  L-cystine[periplasm] // D-cystine[cytosol]  ->  D-cystine[periplasm] // transport of cystine	L-cystine[cytosol]  ->  L-cystine[periplasm] // D-cystine[cytosol]  ->  D-cystine[periplasm] // transport of cystine
cystine/sulfocysteine:cation symporter	G6934-MONOMER	transmembrane transporter activity // symporter activity // sulfur amino acid transmembrane transporter activity // amino acid:cation symporter activity // L-cystine transmembrane transporter activity	L-cystine:proton symport // sulfocysteine:proton symport // D-cystine:proton symport // homocystine:proton symport	L-cystine:proton symport // sulfocysteine:proton symport // D-cystine:proton symport // homocystine:proton symport
cytochrome <i>bd</i>-I ubiquinol oxidase	CYT-D-UBIOX-CPLX		2 an ubiquinol[inner membrane] + dioxygen + 4 H+  ->  2 a ubiquinone[inner membrane] + 2 H2O + 4 H+[periplasm] // hydrogen peroxide[periplasm] + an ubiquinol[inner membrane]  ->  a ubiquinone[inner membrane] + 2 H2O[periplasm] // 6-decylubiquinol + hydrogen peroxide  <-->  6-decylubiquinone + 2 H2O	2 an ubiquinol[inner membrane] + dioxygen + 4 H+  ->  2 a ubiquinone[inner membrane] + 2 H2O + 4 H+[periplasm] // hydrogen peroxide[periplasm] + an ubiquinol[inner membrane]  ->  a ubiquinone[inner membrane] + 2 H2O[periplasm] // 6-decylubiquinol + hydrogen peroxide  <-->  6-decylubiquinone + 2 H2O
cytochrome <i>bd</i>-II ubiquinol oxidase	APP-UBIOX-CPLX		2 an ubiquinol[inner membrane] + dioxygen + 4 H+  ->  2 a ubiquinone[inner membrane] + 2 H2O + 4 H+[periplasm]	2 an ubiquinol[inner membrane] + dioxygen + 4 H+  ->  2 a ubiquinone[inner membrane] + 2 H2O + 4 H+[periplasm]
cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase	CYT-O-UBIOX-CPLX	copper ion binding // heme binding // proton transmembrane transporter activity // electron transfer activity // cytochrome bo3 ubiquinol oxidase activity // oxidoreduction-driven active transmembrane transporter activity	2 an ubiquinol[inner membrane] + 8 H+ + dioxygen  ->  2 a ubiquinone[inner membrane] + 8 H+[periplasm] + 2 H2O	2 an ubiquinol[inner membrane] + 8 H+ + dioxygen  ->  2 a ubiquinone[inner membrane] + 8 H+[periplasm] + 2 H2O
cytosine transporter	CODB-MONOMER	transmembrane transporter activity // cytosine transmembrane transporter activity // solute:proton symporter activity	cytosine:proton symport	cytosine:proton symport
D-allose ABC transporter ATP binding subunit // D-allose ABC transporter membrane subunit // D-allose ABC transporter periplasmic binding protein	ABC-42-CPLX	allose transmembrane transporter activity	D-allose[periplasm] + ATP + H2O  ->  D-allose[cytosol] + ADP + phosphate + H+	D-allose[periplasm] + ATP + H2O  ->  D-allose[cytosol] + ADP + phosphate + H+
D-galactonate:H<sup>+</sup> symporter	YIDT-MONOMER	transmembrane transporter activity // solute:proton symporter activity // D-galactonate transmembrane transporter activity	galactonate:proton symport	galactonate:proton symport
D-galactose / methyl-&beta;-D-galactoside ABC transporter	ABC-18-CPLX	galactose transmembrane transporter activity // methylgalactoside transmembrane transporter activity	ATP + D-galactopyranose[periplasm] + H2O  ->  ADP + D-galactopyranose[cytosol] + phosphate + H+ // methyl-beta-D-galactoside[periplasm] + ATP + H2O  ->  methyl-beta-D-galactoside[cytosol] + ADP + phosphate + H+	ATP + D-galactopyranose[periplasm] + H2O  ->  ADP + D-galactopyranose[cytosol] + phosphate + H+ // methyl-beta-D-galactoside[periplasm] + ATP + H2O  ->  methyl-beta-D-galactoside[cytosol] + ADP + phosphate + H+
D-serine transporter	DSDX-MONOMER	gluconate transmembrane transporter activity // D-serine transmembrane transporter activity	D-serine[periplasm]  ->  D-serine[cytosol]	D-serine[periplasm]  ->  D-serine[cytosol]
D-serine/alanine/glycine/:H<sup>+</sup>symporter	CYCA-MONOMER	D-serine transmembrane transporter activity // D-alanine transmembrane transporter activity // L-alanine transmembrane transporter activity // beta-alanine transmembrane transporter activity // glycine transmembrane transporter activity	D-alanine:proton symport // D-serine:proton symport // glycine:proton symport // L-alanine:proton symport // &beta;-alanine:proton symport // D-cycloserine:proton symport	D-alanine:proton symport // D-serine:proton symport // glycine:proton symport // L-alanine:proton symport // &beta;-alanine:proton symport // D-cycloserine:proton symport
D-xylose:H<sup>+</sup> symporter	XYLE-MONOMER	transmembrane transporter activity // symporter activity // D-xylose:proton symporter activity	xylose:proton symport	xylose:proton symport
dipeptide ABC transporter	ABC-8-CPLX	ATPase-coupled transmembrane transporter activity	ATP + a dipeptide[periplasm] + H2O  ->  ADP + a dipeptide[cytosol] + phosphate + H+	ATP + a dipeptide[periplasm] + H2O  ->  ADP + a dipeptide[cytosol] + phosphate + H+
dipeptide/tripeptide:H<sup>+</sup> symporter DtpA	B1634-MONOMER	peptide transmembrane transporter activity // transmembrane transporter activity // proton transmembrane transporter activity // dipeptide transmembrane transporter activity // peptide:proton symporter activity // tripeptide transmembrane transporter activity	dipeptide:proton symport // tripeptide:proton symport	dipeptide:proton symport // tripeptide:proton symport
dipeptide/tripeptide:H<sup>+</sup> symporter DtpB	YHIP-MONOMER	peptide transmembrane transporter activity // transmembrane transporter activity // proton transmembrane transporter activity // dipeptide transmembrane transporter activity // peptide:proton symporter activity // tripeptide transmembrane transporter activity	tripeptide:proton symport // dipeptide:proton symport	tripeptide:proton symport // dipeptide:proton symport
dipeptide/tripeptide:H<sup>+</sup> symporter DtpC	YJDL-MONOMER	peptide transmembrane transporter activity // transmembrane transporter activity // symporter activity // dipeptide transmembrane transporter activity // proton transmembrane transporter activity // tripeptide transmembrane transporter activity // peptide:proton symporter activity	tripeptide:proton symport // dipeptide:proton symport	tripeptide:proton symport // dipeptide:proton symport
dipeptide:H<sup>+</sup> symporter DtpD	B0709-MONOMER	peptide transmembrane transporter activity // tripeptide transmembrane transporter activity // transmembrane transporter activity // peptide:proton symporter activity // dipeptide transmembrane transporter activity	dipeptide:proton symport	dipeptide:proton symport
efflux pump MdtG	YCEE-MONOMER	transmembrane transporter activity // solute:proton antiporter activity	fosfomycin:proton antiport // deoxycholate:proton antiport	fosfomycin:proton antiport // deoxycholate:proton antiport
efflux pump MdtL	YIDY-MONOMER	xenobiotic transmembrane transporter activity // transmembrane transporter activity // solute:proton antiporter activity	chloramphenicol:proton antiport	chloramphenicol:proton antiport
enterobactin exporter EntS	YBDA-MONOMER	transmembrane transporter activity // enterobactin transmembrane transporter activity	enterobactin export	enterobactin export
F- channel	CPLX0-8271		export of F<sup>-</sup>	export of F<sup>-</sup>
Fe<sup>2+</sup> transporter FeoB	FEOB-MONOMER	identical protein binding // nucleotide binding // ferrous iron transmembrane transporter activity // GTP binding	G protein coupled Fe<sup>2+</sup> transport	G protein coupled Fe<sup>2+</sup> transport
