Object ID	Transporters	Gene	Reactions	Reaction-Direction	GO terms (molecular function)	GO terms (cellular component)	GO terms (biological process)
L-leucine:proton antiport // L-methionine:proton antiport	leucine exporter	leuE	L-leucine:proton antiport // L-methionine:proton antiport	REVERSIBLE	amino acid transmembrane transporter activity // L-leucine transmembrane transporter activity	integral component of plasma membrane // integral component of membrane // membrane // plasma membrane	L-amino acid transport // branched-chain amino acid transport // amino acid transmembrane transport // cation transmembrane transport // L-alpha-amino acid transmembrane transport // amino acid transport // leucine transport
D-glucarate:proton symport // galactarate:proton symport // D-glycerate:proton symport	galactarate/D-glucarate transporter GarP	garP	D-glucarate:proton symport // galactarate:proton symport // D-glycerate:proton symport	REVERSIBLE	transmembrane transporter activity // anion:cation symporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	inorganic anion transport // transmembrane transport // galactarate metabolic process // D-glucarate metabolic process
phenylalanine:proton symport	phenylalanine:H+ symporter PheP	pheP	phenylalanine:proton symport	REVERSIBLE		integral component of membrane // membrane // plasma membrane	transmembrane transport // amino acid transport // phenylalanine transport
drug:proton antiport // electrogenic sodium:proton antiport // electrogenic potassium:proton antiport // deoxycholate:proton antiport // cholate:proton antiport	multidrug efflux pump / bile salt:H<sup>+</sup> antiporter / Na<sup>+</sup>:H<sup>+</sup> antiporter / K<sup>+</sup>:H<sup>+</sup> antiporter	mdtM	drug:proton antiport // electrogenic sodium:proton antiport // electrogenic potassium:proton antiport // deoxycholate:proton antiport // cholate:proton antiport	REVERSIBLE	xenobiotic transmembrane transporter activity // transmembrane transporter activity // solute:proton antiporter activity // bile acid transmembrane transporter activity // sodium:proton antiporter activity // potassium:proton antiporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	anion transmembrane transport // transmembrane transport // sodium ion export across plasma membrane // potassium ion export across plasma membrane // xenobiotic detoxification by transmembrane export across the plasma membrane // bile acid and bile salt transport // regulation of cellular pH // response to antibiotic
Co<sup>2+</sup> export // Ni<sup>2+</sup> export	Ni<sup>2+</sup>/Co<sup>2+</sup> exporter	rcnA	Co<sup>2+</sup> export // Ni<sup>2+</sup> export	LEFT-TO-RIGHT	cation efflux transmembrane transporter activity // nickel cation transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	nickel cation transport // cobalt ion transport // ion transport // response to nickel cation // response to cobalt ion // nickel cation homeostasis // nickel cation transmembrane transport
lactate:proton symport // lactate:proton symport // glycolate:proton symport // hydroxybutanoate:proton symport	lactate/glycolate:H<sup>+</sup> symporter LldP	lldP	lactate:proton symport // lactate:proton symport // glycolate:proton symport // hydroxybutanoate:proton symport	LEFT-TO-RIGHT // REVERSIBLE	solute:proton symporter activity // glycolate transmembrane transporter activity // lactate transmembrane transporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	proton transmembrane transport // lactate transport // cellular response to DNA damage stimulus // lactate transmembrane transport
Zn<sup>2+</sup>:proton symport	Zn<sup>2+</sup>:H<sup>+</sup> symporter	zntB	Zn<sup>2+</sup>:proton symport	LEFT-TO-RIGHT	metal ion transmembrane transporter activity // cobalt ion binding // magnesium ion transmembrane transporter activity // cobalt ion transmembrane transporter activity // magnesium ion binding // protein binding // solute:proton symporter activity // zinc efflux transmembrane transporter activity // zinc ion transmembrane transporter activity	plasma membrane // integral component of membrane // membrane // integral component of plasma membrane	metal ion transport // transmembrane transport // magnesium ion transmembrane transport // proton transmembrane transport // zinc ion transport // cobalt ion transport // ion transport // zinc ion import across plasma membrane // zinc ion transmembrane transport
glucose-6-phosphate:phosphate antiport // mannose-6-phosphate:phosphate antiport // fructose-6-phosphate:phosphate antiport // glyceraldehyde-3-phosphate:phosphate antiport	hexose-6-phosphate:phosphate antiporter	uhpT	glucose-6-phosphate:phosphate antiport // mannose-6-phosphate:phosphate antiport // fructose-6-phosphate:phosphate antiport // glyceraldehyde-3-phosphate:phosphate antiport	REVERSIBLE	transmembrane transporter activity // hexose-phosphate:inorganic phosphate antiporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	phosphate ion transport // transmembrane transport // carbohydrate transport // hexose phosphate transport // glucose-6-phosphate transport
N-acetyl-beta-neuraminate[extracellular space]  ->  N-acetyl-beta-neuraminate[periplasm] // N-acetylneuraminate[extracellular space]  ->  N-acetylneuraminate[periplasm]	<i>N</i>-acetylneuraminate outer membrane channel	nanC	N-acetyl-beta-neuraminate[extracellular space]  ->  N-acetyl-beta-neuraminate[periplasm] // N-acetylneuraminate[extracellular space]  ->  N-acetylneuraminate[periplasm]	LEFT-TO-RIGHT	porin activity	integral component of membrane // membrane // pore complex // integral component of cell outer membrane // cell outer membrane	sialic acid transport // transmembrane transport // ion transport
xanthine:proton symport	xanthine:H+ symporter XanP	xanP	xanthine:proton symport	REVERSIBLE	transmembrane transporter activity // xanthine transmembrane transporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	transmembrane transport // xanthine transport
L-rhamnose:proton symport // L-lyxopyranose:proton symport	rhamnose/lyxose:H<sup>+</sup> symporter	rhaT	L-rhamnose:proton symport // L-lyxopyranose:proton symport	REVERSIBLE	rhamnose transmembrane transporter activity // symporter activity	membrane // integral component of membrane // plasma membrane	hexose transmembrane transport // carbohydrate transport // rhamnose transmembrane transport
potassium:proton antiport	K+ : H+ antiporter KefB	kefB	potassium:proton antiport	REVERSIBLE	glutathione-regulated potassium exporter activity // solute:proton antiporter activity // cation transmembrane transporter activity // antiporter activity	integral component of plasma membrane // integral component of membrane // membrane // plasma membrane	cation transmembrane transport // transmembrane transport // proton transmembrane transport // potassium ion transmembrane transport // cation transport // potassium ion transport // ion transport
L-lysine:proton symport	lysine:H+ symporter	lysP	L-lysine:proton symport	REVERSIBLE	amino acid transmembrane transporter activity // protein binding // transcription factor binding // L-lysine transmembrane transporter activity // identical protein binding	integral component of membrane // membrane // outer membrane-bounded periplasmic space // integral component of plasma membrane // plasma membrane	transmembrane transport // amino acid transmembrane transport // amino acid transport // regulation of DNA-binding transcription factor activity // response to amino acid // L-lysine import across plasma membrane
alpha-D-Fuc4NAc-(1->4)-beta-D-ManNAcA-(1->4)-GlcNAc-PP-Und[cytosol] + H+[periplasm]  ->  alpha-D-Fuc4NAc-(1->4)-beta-D-ManNAcA-(1->4)-GlcNAc-PP-Und[periplasm] + H+[cytosol]	lipid III<sub>ECA</sub> flippase	wzxE	alpha-D-Fuc4NAc-(1->4)-beta-D-ManNAcA-(1->4)-GlcNAc-PP-Und[cytosol] + H+[periplasm]  ->  alpha-D-Fuc4NAc-(1->4)-beta-D-ManNAcA-(1->4)-GlcNAc-PP-Und[periplasm] + H+[cytosol]	PHYSIOL-LEFT-TO-RIGHT	intramembrane lipid transporter activity	integral component of plasma membrane // integral component of membrane // membrane // plasma membrane	enterobacterial common antigen biosynthetic process
acetate:proton symport // succinate:proton symport	acetate/succinate:H<sup>+</sup> symporter	satP	acetate:proton symport // succinate:proton symport	REVERSIBLE	symporter activity // acetate:proton symporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	proton transmembrane transport // ion transport // acetate transmembrane transport // succinate transmembrane transport
3-hydroxycinnamate:proton symport // 3-(3-hydroxyphenyl)propanoate:proton symport	3-hydroxyphenylpropionate/3-hydroxycinnamate:H<sup>+</sup> symporter	mhpT	3-hydroxycinnamate:proton symport // 3-(3-hydroxyphenyl)propanoate:proton symport	REVERSIBLE	transmembrane transporter activity // symporter activity // 3-hydroxyphenyl propionate:proton symporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // 3-hydroxyphenylpropionic acid transmembrane transport
deoxycytidine:proton symport // cytidine:proton symport // thymidine:proton symport // deoxyinosine:proton symport // inosine:proton symport // uridine:proton symport // deoxyuridine:proton symport // deoxyadenosine:proton symport // adenosine:proton symport // ADP-glucose:proton symport	nucleoside:H<sup>+</sup> symporter NupC	nupC	deoxycytidine:proton symport // cytidine:proton symport // thymidine:proton symport // deoxyinosine:proton symport // inosine:proton symport // uridine:proton symport // deoxyuridine:proton symport // deoxyadenosine:proton symport // adenosine:proton symport // ADP-glucose:proton symport	REVERSIBLE	nucleoside:proton symporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	nucleoside transmembrane transport
xylose:proton symport	D-xylose:H<sup>+</sup> symporter	xylE	xylose:proton symport	REVERSIBLE	transmembrane transporter activity // symporter activity // D-xylose:proton symporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // carbohydrate transport // D-xylose transmembrane transport
enterobactin export	enterobactin exporter EntS	entS	enterobactin export	REVERSIBLE	transmembrane transporter activity // enterobactin transmembrane transporter activity	integral component of plasma membrane // integral component of membrane // membrane // plasma membrane	transmembrane transport // siderophore transport // enterobactin transport // cellular response to DNA damage stimulus // response to antibiotic
protoheme[cytosol] + a CcmCDE complex + an oxidized unknown electron carrier[inner membrane] + H+  ->  a heme(III)-bound CcmCDE complex[periplasm] + a reduced unknown one electron carrier	CcmCDE complex	ccmC // ccmD // ccmE	protoheme[cytosol] + a CcmCDE complex + an oxidized unknown electron carrier[inner membrane] + H+  ->  a heme(III)-bound CcmCDE complex[periplasm] + a reduced unknown one electron carrier	PHYSIOL-LEFT-TO-RIGHT			
glutamate:Na<sup>+</sup> symport	glutamate:sodium symporter	gltS	glutamate:Na<sup>+</sup> symport	REVERSIBLE	glutamate:sodium symporter activity // symporter activity	membrane // integral component of membrane // plasma membrane	transmembrane transport // amino acid transport // ion transport // sodium ion transport // L-glutamate transmembrane transport
S-methyl-L-methionine[periplasm]  ->  S-methyl-L-methionine[cytosol] // <i>O</i>-acetyl-L-serine export // N6-(D-fructosyl)-L-lysine[periplasm]  ->  N6-(D-fructosyl)-L-lysine[cytosol] // D-serine[periplasm]  ->  D-serine[cytosol] // L-valine[cytosol]  <-->  L-valine[periplasm] // L-cystathionine[periplasm]  ->  L-cystathionine[cytosol] // L-cysteine export // L-selenocysteine[periplasm]  ->  L-selenocysteine[cytosol] // L-lysine[cytosol]  ->  L-lysine[periplasm] // L-arginine[cytosol]  ->  L-arginine[periplasm] // glycine[periplasm]  <-->  glycine[cytosol] // L-cystine[cytosol]  ->  L-cystine[periplasm] // D-cystine[cytosol]  ->  D-cystine[periplasm] // transport of cystine // amino acid export	amino acid exporter YddG	yddG	S-methyl-L-methionine[periplasm]  ->  S-methyl-L-methionine[cytosol] // <i>O</i>-acetyl-L-serine export // N6-(D-fructosyl)-L-lysine[periplasm]  ->  N6-(D-fructosyl)-L-lysine[cytosol] // D-serine[periplasm]  ->  D-serine[cytosol] // L-valine[cytosol]  <-->  L-valine[periplasm] // L-cystathionine[periplasm]  ->  L-cystathionine[cytosol] // L-cysteine export // L-selenocysteine[periplasm]  ->  L-selenocysteine[cytosol] // L-lysine[cytosol]  ->  L-lysine[periplasm] // L-arginine[cytosol]  ->  L-arginine[periplasm] // glycine[periplasm]  <-->  glycine[cytosol] // L-cystine[cytosol]  ->  L-cystine[periplasm] // D-cystine[cytosol]  ->  D-cystine[periplasm] // transport of cystine // amino acid export	LEFT-TO-RIGHT // REVERSIBLE // RIGHT-TO-LEFT // PHYSIOL-LEFT-TO-RIGHT	aromatic amino acid transmembrane transporter activity // amino acid transmembrane transporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	aromatic amino acid transport // amino acid transport // amino acid export across plasma membrane
fructuronate:proton symport // D-gluconate:proton symport	fructuronate transporter	gntP	fructuronate:proton symport // D-gluconate:proton symport	REVERSIBLE	carbohydrate:proton symporter activity // gluconate transmembrane transporter activity	integral component of membrane // integral component of plasma membrane // plasma membrane // membrane	carbohydrate transmembrane transport // proton transmembrane transport // carbohydrate transport // D-gluconate catabolic process // D-gluconate metabolic process // gluconate transmembrane transport
arabinose:proton symport	arabinose:H<sup>+</sup> symporter	araE	arabinose:proton symport	REVERSIBLE	transmembrane transporter activity // L-arabinose transmembrane transporter activity // fucose transmembrane transporter activity // symporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	carbohydrate transport // transmembrane transport // L-arabinose transmembrane transport // fucose transmembrane transport
D-glucarate:proton symport // galactarate:proton symport // D-glycerate:proton symport	galactarate/D-glucarate transporter GudP	gudP	D-glucarate:proton symport // galactarate:proton symport // D-glycerate:proton symport	REVERSIBLE	transmembrane transporter activity // anion:cation symporter activity	integral component of membrane // membrane // plasma membrane	inorganic anion transport // transmembrane transport // galactarate metabolic process // D-glucarate metabolic process
2-oxoglutarate:proton symport	&alpha;-ketoglutarate:H<sup>+</sup> symporter	kgtP	2-oxoglutarate:proton symport	REVERSIBLE	transmembrane transporter activity // symporter activity // solute:cation symporter activity	integral component of membrane // membrane // plasma membrane	ion transmembrane transport // cation transmembrane transport // transmembrane transport
maltose[periplasm]  ->  maltose[cytosol] // D-glucopyranose[periplasm]  ->  D-glucopyranose[cytosol]	PTS enzyme IIBC component MalX	malX	maltose[periplasm]  ->  maltose[cytosol] // D-glucopyranose[periplasm]  ->  D-glucopyranose[cytosol]	LEFT-TO-RIGHT	protein-phosphocysteine-glucose phosphotransferase system transporter activity // protein-phosphocysteine-sugar phosphotransferase activity // protein binding // kinase activity // transferase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity // maltose transmembrane transporter activity // D-glucose transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	glucose transmembrane transport // carbohydrate utilization // phosphorylation // carbohydrate transport // phosphoenolpyruvate-dependent sugar phosphotransferase system // maltose transport // glucose import
non-specific ion/solute[cytosol]  ->  non-specific ion/solute[periplasm]	potassium dependent, small conductance mechanosensitive channel	mscK	non-specific ion/solute[cytosol]  ->  non-specific ion/solute[periplasm]	LEFT-TO-RIGHT	mechanosensitive ion channel activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // potassium ion transport // ion transport // response to potassium ion // cellular water homeostasis
a nucleoside[extracellular space]  ->  a nucleoside[periplasm]	nucleoside-specific channel-forming protein Tsx	tsx	a nucleoside[extracellular space]  ->  a nucleoside[periplasm]	LEFT-TO-RIGHT	porin activity // nucleoside transmembrane transporter activity // nucleoside-specific channel forming porin activity	integral component of membrane // membrane // pore complex // cell outer membrane	nucleoside transmembrane transport // transmembrane transport // ion transport // nucleoside transport // viral entry into host cell
L-cystine:proton symport // sulfocysteine:proton symport // D-cystine:proton symport // homocystine:proton symport	cystine/sulfocysteine:cation symporter	tcyP	L-cystine:proton symport // sulfocysteine:proton symport // D-cystine:proton symport // homocystine:proton symport	REVERSIBLE	transmembrane transporter activity // symporter activity // sulfur amino acid transmembrane transporter activity // amino acid:cation symporter activity // L-cystine transmembrane transporter activity	integral component of membrane // membrane // plasma membrane	amino acid transmembrane transport // transmembrane transport // amino acid transport // sulfur amino acid transport // sulfur utilization // L-cystine transport
xanthine:proton symport // urate:proton symport	urate:H<sup>+</sup> symporter	uacT	xanthine:proton symport // urate:proton symport	REVERSIBLE	transmembrane transporter activity // symporter activity // urate transmembrane transporter activity // xanthine transmembrane transporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	nucleobase transport // ion transport // transmembrane transport // urate transport // xanthine transport
N6-(D-psicosyl)-L-lysine[periplasm]  ->  N6-(D-psicosyl)-L-lysine[cytosol] // N6-(D-fructosyl)-L-lysine[periplasm]  ->  N6-(D-fructosyl)-L-lysine[cytosol]	fructoselysine/psicoselysine transporter	frlA	N6-(D-psicosyl)-L-lysine[periplasm]  ->  N6-(D-psicosyl)-L-lysine[cytosol] // N6-(D-fructosyl)-L-lysine[periplasm]  ->  N6-(D-fructosyl)-L-lysine[cytosol]	LEFT-TO-RIGHT	transmembrane transporter activity // L-amino acid transmembrane transporter activity	integral component of membrane // membrane // plasma membrane	L-amino acid transport // transmembrane transport // L-alpha-amino acid transmembrane transport // amino acid transport // fructoselysine catabolic process
chloramphenicol:proton antiport	efflux pump MdtL	mdtL	chloramphenicol:proton antiport	REVERSIBLE	xenobiotic transmembrane transporter activity // transmembrane transporter activity // solute:proton antiporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	xenobiotic detoxification by transmembrane export across the plasma membrane // response to antibiotic // transmembrane transport
phosphate:proton symport // zinc hydrogenphosphate:proton symport // calcium hydrogenphosphate:proton symport // magnesium hydrogenphosphate:proton symport // arsenate:proton symport // tellurite:proton symport	metal phosphate:H<sup>+</sup> symporter PitA	pitA	phosphate:proton symport // zinc hydrogenphosphate:proton symport // calcium hydrogenphosphate:proton symport // magnesium hydrogenphosphate:proton symport // arsenate:proton symport // tellurite:proton symport	REVERSIBLE // PHYSIOL-LEFT-TO-RIGHT	protein binding // tellurite transmembrane transporter activity // arsenate ion transmembrane transporter activity // solute:proton symporter activity // zinc ion transmembrane transporter activity // inorganic phosphate transmembrane transporter activity	membrane // integral component of membrane // integral component of plasma membrane // plasma membrane	proton transmembrane transport // zinc ion transmembrane transport // phosphate ion transport // magnesium ion homeostasis // tellurite transport // arsenate ion transmembrane transport // phosphate ion transmembrane transport
Zn<sup>2+</sup>:proton antiport	Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup> exporter	zitB	Zn<sup>2+</sup>:proton antiport	LEFT-TO-RIGHT	cation transmembrane transporter activity // zinc ion transmembrane transporter activity	integral component of membrane // membrane // plasma membrane	transmembrane transport // cation transport // zinc ion transmembrane transport // ion transport // zinc ion transport
G protein coupled Fe<sup>2+</sup> transport	Fe<sup>2+</sup> transporter FeoB	feoB	G protein coupled Fe<sup>2+</sup> transport	PHYSIOL-LEFT-TO-RIGHT	identical protein binding // nucleotide binding // ferrous iron transmembrane transporter activity // GTP binding	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	iron ion transport // ion transport // cellular response to DNA damage stimulus // iron ion import across plasma membrane // iron ion homeostasis
a drug[cytosol]  ->  a drug[periplasm] // 2-nitroimidazole[cytosol]  ->  2-nitroimidazole[periplasm]	2-nitroimidazole exporter	nimT	a drug[cytosol]  ->  a drug[periplasm] // 2-nitroimidazole[cytosol]  ->  2-nitroimidazole[periplasm]	LEFT-TO-RIGHT	transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	response to antibiotic // transmembrane transport
tryptophan:proton symport	tryptophan:H+ symporter TnaB	tnaB	tryptophan:proton symport	REVERSIBLE	aromatic amino acid transmembrane transporter activity // symporter activity	integral component of plasma membrane // integral component of membrane // membrane // plasma membrane	amino acid transport // aromatic amino acid transport // tryptophan catabolic process // amino acid transmembrane transport
Cu+[cytosol] + ATP + H2O  ->  Cu+[periplasm] + ADP + phosphate + H+	Cu<sup>+</sup> exporting P-type ATPase	copA	Cu+[cytosol] + ATP + H2O  ->  Cu+[periplasm] + ADP + phosphate + H+	PHYSIOL-LEFT-TO-RIGHT	P-type monovalent copper transporter activity // P-type divalent copper transporter activity // ATPase-coupled cation transmembrane transporter activity // metal ion binding // ATP binding // nucleotide binding // silver ion transmembrane transporter activity // P-type ion transporter activity	cytoplasm // membrane // integral component of membrane // integral component of plasma membrane // plasma membrane	ion transmembrane transport // cation transmembrane transport // copper ion transmembrane transport // cation transport // metal ion transport // ion transport // copper ion transport // silver ion transmembrane transport // cellular response to silver ion // cellular response to copper ion // copper ion export
sulfate:proton symport	sulfate:H+ symporter	cysZ	sulfate:proton symport	REVERSIBLE	high-affinity sulfate:proton symporter activity // sulfate transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	proton transmembrane transport // sulfate transport // cellular amino acid biosynthetic process // sulfate transmembrane transport // sulfate assimilation // cysteine biosynthetic process
pantothenate:Na<sup>+</sup> symport	pantothenate:Na+ symporter	panF	pantothenate:Na<sup>+</sup> symport	REVERSIBLE	transmembrane transporter activity // sodium ion transmembrane transporter activity // pantothenate transmembrane transporter activity // symporter activity	integral component of membrane // membrane // plasma membrane	sodium ion export across plasma membrane // transmembrane transport // sodium ion transport // ion transport // pantothenate transmembrane transport
transport of adenine	adenine transporter	adeQ	transport of adenine	LEFT-TO-RIGHT	nucleobase transmembrane transporter activity // purine nucleobase transmembrane transporter activity // transmembrane transporter activity // adenine transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	purine nucleobase transmembrane transport // transmembrane transport // adenine transport
pyridoxamine[periplasm]  ->  pyridoxamine[cytosol]	transport of pyridoxamine		pyridoxamine[periplasm]  ->  pyridoxamine[cytosol]	LEFT-TO-RIGHT			
FAD[cytosol]  ->  FAD[periplasm] // FMN[cytosol]  ->  FMN[periplasm]	FMN/FAD exporter	yeeO	FAD[cytosol]  ->  FAD[periplasm] // FMN[cytosol]  ->  FMN[periplasm]	LEFT-TO-RIGHT	xenobiotic transmembrane transporter activity // antiporter activity // dipeptide transmembrane transporter activity // FMN transmembrane transporter activity // FAD transmembrane transporter activity	integral component of membrane // integral component of plasma membrane // plasma membrane // membrane	xenobiotic transport // peptide transport // protein transport // transmembrane transport // carbohydrate derivative transport // dipeptide transmembrane transport // FAD transmembrane transport
L-tartrate:succinate antiport	L-tartrate:succinate antiporter	ttdT	L-tartrate:succinate antiport	REVERSIBLE	transmembrane transporter activity // antiporter activity	integral component of membrane // membrane // plasma membrane	transmembrane transport
phosphate[cytosol]  ->  phosphate[periplasm]	putative inorganic phosphate export protein YjbB	yjbB	phosphate[cytosol]  ->  phosphate[periplasm]	LEFT-TO-RIGHT	sodium:phosphate symporter activity // inorganic phosphate transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	sodium ion transmembrane transport // sodium-dependent phosphate transport // phosphate ion transmembrane transport
uracil:proton symport // thymine:proton symport // xanthine:proton symport	pyrimidine:H<sup>+</sup> symporter	rutG	uracil:proton symport // thymine:proton symport // xanthine:proton symport	REVERSIBLE	pyrimidine nucleotide transmembrane transporter activity // transmembrane transporter activity // symporter activity // pyrimidine nucleobase transmembrane transporter activity // uracil:cation symporter activity // uracil transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // pyrimidine nucleotide transport // pyrimidine nucleobase transmembrane transport // uracil import across plasma membrane // uracil catabolic process
2-dehydro-3-deoxy-D-gluconate:proton symport	2-dehydro-3-deoxy-D-gluconate:H<sup>+</sup> symporter	kdgT	2-dehydro-3-deoxy-D-gluconate:proton symport	REVERSIBLE	carbohydrate:proton symporter activity // symporter activity // 2-keto-3-deoxygluconate:proton symporter activity	membrane // plasma membrane // integral component of membrane	proton transmembrane transport // carbohydrate transport // 2-keto-3-deoxygluconate transmembrane transport // gluconate transmembrane transport
tryptophan:proton symport // indole:proton symport	tryptophan:H<sup>+</sup> symporter Mtr	mtr	tryptophan:proton symport // indole:proton symport	REVERSIBLE	aromatic amino acid transmembrane transporter activity // high-affinity tryptophan transmembrane transporter activity // symporter activity // active transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	aromatic amino acid transport // amino acid transport // tryptophan transport // amino acid transmembrane transport
N-acetylneuraminate:proton symport	<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter	nanT	N-acetylneuraminate:proton symport	REVERSIBLE	sialic acid:proton symporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	sialic acid transport
K<sup>+</sup>:proton symport	Rac prophage; K<sup>+</sup> transporter TrkG	trkG	K<sup>+</sup>:proton symport	REVERSIBLE	potassium:chloride symporter activity // metal ion binding // cation transmembrane transporter activity // potassium ion binding // potassium channel activity // potassium ion transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	potassium ion transport // transmembrane transport // cation transport // ion transport // potassium ion transmembrane transport
